accel,Walk,Stand,Run,Descend Stairs
0.03000733,0,1,0,0
0.045260565,0,1,0,0
0.017338925,0,1,0,0
0.039886658,0,1,0,0
0.016487077,0,1,0,0
0.025360514,0,1,0,0
0.016908552,0,1,0,0
0.025213007,0,1,0,0
0.115287701,0,1,0,0
0.165560023,0,1,0,0
0.04510618,0,1,0,0
0.059886632,0,1,0,0
0.021722117,0,1,0,0
0.032263963,0,1,0,0
0.032185501,0,1,0,0
0.052821722,0,1,0,0
0.043887606,0,1,0,0
0.049728488,0,1,0,0
0.025864046,0,1,0,0
0.002048011,0,1,0,0
0.070217335,0,1,0,0
0.063536441,0,1,0,0
0.0037338,0,1,0,0
0.019429638,0,1,0,0
0.071086766,0,1,0,0
0.111647251,0,1,0,0
0.086354199,0,1,0,0
0.023325478,0,1,0,0
0.023091445,0,1,0,0
0.031598749,0,1,0,0
0.008273839,0,1,0,0
0.010337151,0,1,0,0
0.005894374,0,1,0,0
0.022147978,0,1,0,0
0.024449851,0,1,0,0
0.025169682,0,1,0,0
0.035893343,0,1,0,0
0.015790035,0,1,0,0
0.01247373,0,1,0,0
0.018096599,0,1,0,0
0.006927383,0,1,0,0
0.020467202,0,1,0,0
0.020749566,0,1,0,0
0.013785643,0,1,0,0
0.017008132,0,1,0,0
0.035376655,0,1,0,0
0.018787588,0,1,0,0
0.0242837,0,1,0,0
0.041707497,0,1,0,0
0.018866418,0,1,0,0
0.004190517,0,1,0,0
0.021838343,0,1,0,0
0.011656806,0,1,0,0
0.034394378,0,1,0,0
0.018637749,0,1,0,0
0.028527051,0,1,0,0
0.035890047,0,1,0,0
0.034891744,0,1,0,0
0.007438456,0,1,0,0
0.019580593,0,1,0,0
0.015594005,0,1,0,0
0.030735113,0,1,0,0
0.022122021,0,1,0,0
0.032225419,0,1,0,0
0.011394726,0,1,0,0
0.01626987,0,1,0,0
0.008857437,0,1,0,0
0.026098551,0,1,0,0
0.017682373,0,1,0,0
0.03320613,0,1,0,0
0.01175499,0,1,0,0
0.017306449,0,1,0,0
0.014998803,0,1,0,0
0.002044589,0,1,0,0
0.028767991,0,1,0,0
0.011667924,0,1,0,0
0.014246478,0,1,0,0
0.025135205,0,1,0,0
0.017432977,0,1,0,0
0.016296432,0,1,0,0
0.013034362,0,1,0,0
0.013782095,0,1,0,0
0.029953733,0,1,0,0
0.02246723,0,1,0,0
0.006415188,0,1,0,0
0.008640215,0,1,0,0
0.017702065,0,1,0,0
0.013002204,0,1,0,0
0.008270041,0,1,0,0
0.022215052,0,1,0,0
0.023514269,0,1,0,0
0.011170574,0,1,0,0
0.013396079,0,1,0,0
0.026896263,0,1,0,0
0.015767591,0,1,0,0
0.010543163,0,1,0,0
0.027504542,0,1,0,0
0.028164886,0,1,0,0
0.0090083,0,1,0,0
0.012379652,0,1,0,0
0.020737699,0,1,0,0
0.004841922,0,1,0,0
0.008058164,0,1,0,0
0.020576839,0,1,0,0
0.021876459,0,1,0,0
0.012438834,0,1,0,0
0.027291069,0,1,0,0
0.009097707,0,1,0,0
0.0086352,0,1,0,0
0.013479178,0,1,0,0
0.015579213,0,1,0,0
0.022951228,0,1,0,0
0.022470726,0,1,0,0
0.009598813,0,1,0,0
0.016827085,0,1,0,0
0.007843822,0,1,0,0
0.020915277,0,1,0,0
0.02331787,0,1,0,0
0.0229069,0,1,0,0
0.01427797,0,1,0,0
0.011317729,0,1,0,0
0.010299549,0,1,0,0
0.004577762,0,1,0,0
0.019946612,0,1,0,0
0.018742593,0,1,0,0
0.006663014,0,1,0,0
0.026323689,0,1,0,0
0.005792656,0,1,0,0
0.014770633,0,1,0,0
0.031256006,0,1,0,0
0.016832132,0,1,0,0
0.018065706,0,1,0,0
0.021001799,0,1,0,0
0.013240788,0,1,0,0
0.012050605,0,1,0,0
0.009904673,0,1,0,0
0.010622493,0,1,0,0
0.02616092,0,1,0,0
0.025370444,0,1,0,0
0.010379321,0,1,0,0
0.018839526,0,1,0,0
0.005965385,0,1,0,0
0.022561571,0,1,0,0
0.016042709,0,1,0,0
0.01395113,0,1,0,0
0.013884603,0,1,0,0
0.009687853,0,1,0,0
0.023199898,0,1,0,0
0.017458037,0,1,0,0
0.010606089,0,1,0,0
0.019751956,0,1,0,0
0.009591494,0,1,0,0
0.014775072,0,1,0,0
0.024959589,0,1,0,0
0.008512588,0,1,0,0
0.019466671,0,1,0,0
0.015619054,0,1,0,0
0.011371977,0,1,0,0
0.020427033,0,1,0,0
0.027527147,0,1,0,0
0.023420488,0,1,0,0
0.004648935,0,1,0,0
0.012614364,0,1,0,0
0.012886306,0,1,0,0
0.019220339,0,1,0,0
0.018679209,0,1,0,0
0.011352589,0,1,0,0
0.006906675,0,1,0,0
0.006017974,0,1,0,0
0.024652308,0,1,0,0
0.011691232,0,1,0,0
0.01434742,0,1,0,0
0.016719177,0,1,0,0
0.027050105,0,1,0,0
0.029601945,0,1,0,0
0.012517556,0,1,0,0
0.007712956,0,1,0,0
0.013415319,0,1,0,0
0.023368225,0,1,0,0
0.021690306,0,1,0,0
0.019220199,0,1,0,0
0.006459175,0,1,0,0
0.017004142,0,1,0,0
0.020914085,0,1,0,0
0.030803948,0,1,0,0
0.023603901,0,1,0,0
0.015338412,0,1,0,0
0.009320082,0,1,0,0
0.023037155,0,1,0,0
0.018059,0,1,0,0
0.005813633,0,1,0,0
0.022097184,0,1,0,0
0.012243159,0,1,0,0
0.020860148,0,1,0,0
0.029880426,0,1,0,0
0.007641779,0,1,0,0
0.017393933,0,1,0,0
0.014338249,0,1,0,0
0.017081861,0,1,0,0
0.029715523,0,1,0,0
0.014005506,0,1,0,0
0.014515017,0,1,0,0
0.00552891,0,1,0,0
0.016132914,0,1,0,0
0.007758525,0,1,0,0
0.02965815,0,1,0,0
0.023210258,0,1,0,0
0.022528209,0,1,0,0
0.006490804,0,1,0,0
0.015285751,0,1,0,0
0.021732161,0,1,0,0
0.013952814,0,1,0,0
0.019802862,0,1,0,0
0.00971798,0,1,0,0
0.025831554,0,1,0,0
0.014488215,0,1,0,0
0.026082247,0,1,0,0
0.003459195,0,1,0,0
0.012951355,0,1,0,0
