idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
54,United States,Commercial,Communications,,1436.1,2648.0,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,1997-01-30
55,United States,Commercial,Communications,,1436.1,2500.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2008-08-14
56,United States,Commercial,Communications,,1436.08,2845.0,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,1997-09-04
57,United States,Commercial,Communications,,1436.1,3909.0,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,1999-11-13
58,United States,Commercial,Communications,,1436.12,3901.0,Baikonur Cosmodrome,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-10-22
59,United States,Commercial,Communications,,1436.08,1935.0,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-09-14
60,United States,Commercial,Communications,,1436.07,2015.0,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-12-19
61,United States,Commercial,Communications,,1436.08,4100.0,Baikonur Cosmodrome,Alcatel Space Industries,15.0,15.0,2003-06-07
62,Israel,Military/Commercial,Communications,,1436.08,1400.0,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2003-12-27
63,Israel,Military/Commercial,Communications,,1436.1,,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2008-04-28
64,Israel,Military/Commercial,Communications,,1432,,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2013-08-31
65,United States,Civil,Communications,,114.9,29.0,Vandenberg AFB,Amsat-NA,,,1974-11-15
66,Canada,Commercial,Communications,,1436.08,4710.0,Guiana Space Center,Boeing Satellite Systems,15.0,15.0,2000-11-21
67,Canada,Commercial,Communications,,1436.1,4500.0,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2005-09-09
68,Canada,Commercial,Communications,,1436.08,5910.0,Guiana Space Center,Boeing Satellite Systems,15.0,15.0,2004-07-18
69,Canada,Commercial,Communications,,1436.1,4715.0,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2007-04-09
70,Canada,Commercial,Communications,,1436.08,4905.0,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2013-04-15
71,Uruguay,Civil,Technology Development,,96.99,2.0,Dombarovsky Air Base,"Facultad de Ingenieria de la Universidad de la Republica (FING), ANTEL",,,2014-06-19
72,Argentina,Commercial,Communications/Technology Development,,99.4,12.0,Baikonur Cosmodrome,Aprize Satellite ,,,2004-06-29
73,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),98,12.0,Dombarovsky Air Base,SpaceQuest,,,2014-06-19
74,Argentina,Commercial,Communications/Technology Development,,100.3,12.0,Baikonur Cosmodrome,Aprize Satellite ,,,2004-06-29
