date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
1997-10-24,USA,Military,Communications,,1436.1,"1,156",10/24/97,10 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,10.0,10.0,1997-10-24
2000-01-01,USA,Military,Communications,,1436.13,"1,156",1/1/00,10 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,10.0,10.0,2000-01-01
2000-10-20,USA,Military,Communications,,1436.12,"1,156",10/20/00,10 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,10.0,10.0,2000-10-20
1995-07-31,USA,Military,Communications,,1436.1,"1,156",7/31/95,10 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,10.0,10.0,1995-07-31
1997-02-23,USA,Military,Earth Observation,Infrared Imaging,1436.27,"2,380",2/23/97,5 yrs.,Cape Canaveral,TRW and Aerojet Electronics Systems,5.0,5.0,1997-02-23
2000-05-18,USA,Military,Earth Observation,Infrared Imaging,142.08,"2,380",5/18/00,7-9 yrs.,Cape Canaveral,TRW and Aerojet Electronics Systems,7.0,9.0,2000-05-18
2001-08-06,USA,Military,Earth Observation,Infrared Imaging,1436.14,"2,380",8/6/01,7-9 yrs.,Cape Canaveral,TRW and Aerojet Electronics Systems,7.0,9.0,2001-08-06
2004-02-14,USA,Military,Earth Observation,Infrared Imaging,1436.12,"2,380",2/14/04,7-9 yrs.,Cape Canaveral,Northrup Grumman (formerly TRW),7.0,9.0,2004-02-14
2009-07-29,United Arab Emirates,Government,Earth Observation,Optical Imaging,98.2,200,7/29/09,5 yrs.,Baikonur Cosmodrome,Satrec Initiative,5.0,5.0,2009-07-29
2013-11-21,United Arab Emirates,Government,Earth Observation,Optical Imaging,96.56,300,11/21/13,5 yrs.,Dombarovsky Air Base,Satrec Initiative,5.0,5.0,2013-11-21
2014-06-19,Israel,Civil,Communications,,96.93,1,6/19/14,,Dombarovsky Air Base,Herzliya Science Centre (HSC),,,2014-06-19
2014-07-08,Russia,Commercial,Communications,Automatic Identification System (AIS),97.33,27,7/8/14,,Baikonur Cosmodrome,Dauria Aerospace,,,2014-07-08
1995-12-28,Mexico,Commercial,Communications,,1436.07,"3,287",12/28/95,12 yrs.,Xichang Satellite Launch Center,Lockheed Martin Astro Space,12.0,12.0,1995-12-28
2006-02-15,USA,Commercial,Communications,,1436,"4,333",2/15/06,15 yrs.,Sea Launch,Lockheed Martin Commercial Space Systems,15.0,15.0,2006-02-15
2008-07-16,USA,Commercial,Communications,,1436.1,"5,500",7/16/08,15 yrs.,Sea Launch,Space Systems/Loral,15.0,15.0,2008-07-16
2003-07-17,USA,Commercial,Communications,,1436.11,"4,328",7/17/03,18 yrs.,Cape Canaveral,Lockheed Martin Commercial Space Systems,18.0,18.0,2003-07-17
2010-03-20,USA,Commercial,Communications,,1436.11,"6,384",3/20/10,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2010-03-20
2010-07-10,USA,Commercial,Communications,,1436.57,"5,521",7/10/10,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2010-07-10
2012-11-20,USA,Commercial,Communications,,1436.06,"6,658",11/20/12,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2012-11-20
2012-07-05,USA,Commercial,Communications,,1436.13,"6,100",7/5/12,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2012-07-05
2016-06-19,USA,Commercial,Communications,,1436.3,"6,300",6/19/16,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2016-06-19
2016-12-18,USA,Commercial,Communications,,1436.3,"6,764",12/18/16,15 yrs.,Cape Canaveral,Space Systems/Loral,15.0,15.0,2016-12-18
1997-10-05,USA,Commercial,Communications,,1436.11,"3,674",10/5/97,12 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,12.0,12.0,1997-10-05
2002-02-21,USA,Commercial,Communications,,1436.07,"4,027",2/21/02,12 yrs.,Cape Canaveral,Lockheed Martin Missiles and Space,12.0,12.0,2002-02-21
2002-08-21,USA,Commercial,Communications,,1436.1,"4,660",8/21/02,12 yrs.,Baikonur Cosmodrome,Space Systems/Loral,12.0,12.0,2002-08-21
2003-08-08,USA,Commercial,Communications,,1436.08,"4,000",8/8/03,13 yrs.,Sea Launch,Space Systems/Loral,13.0,13.0,2003-08-08
2008-04-14,USA,Commercial,Communications,,1436.1,"6,600",4/14/08,15 yrs.,Cape Canaveral,Space Systems/Loral,15.0,15.0,2008-04-14
2015-11-17,Russia,Military,Earth Observation,Early Warning,715,,11/17/15,,Plesetsk Cosmodrome,RKK Energia,,,2015-11-17
2011-01-20,Russia,Government,Earth Observation,Optical Imaging,1423.35,"1,766",1/20/11,10 yrs.,Baikonur Cosmodrome,Lavochkin,10.0,10.0,2011-01-20
2015-12-11,Russia,Government,Earth Observation,Optical Imaging,1434.47,"1,800",12/11/15,10 yrs.,Baikonur Cosmodrome,Lavochkin,10.0,10.0,2015-12-11
2011-12-17,France,Military,Earth Observation,Electronic Intelligence,98.43,120,12/17/11,,Guiana Space Center,Astrium/Thales Alenia Space,,,2011-12-17
2011-12-17,France,Military,Earth Observation,Electronic Intelligence,98.43,120,12/17/11,,Guiana Space Center,Astrium/Thales Alenia Space,,,2011-12-17
2011-12-17,France,Military,Earth Observation,Electronic Intelligence,98.45,120,12/17/11,,Guiana Space Center,Astrium/Thales Alenia Space,,,2011-12-17
2011-12-17,France,Military,Earth Observation,Electronic Intelligence,98.46,120,12/17/11,,Guiana Space Center,Astrium/Thales Alenia Space,,,2011-12-17
1999-12-18,USA/Canada/Japan,Government,Earth Observation,Earth Science,98.8,"4,854",12/18/99,6 yrs.,Vandenberg AFB,Lockheed Martin,6.0,6.0,1999-12-18
2004-07-15,USA,Government,Earth Observation,Earth Science,98.8,"2,967",7/15/04,5+ yrs.,Vandenberg AFB,TRW,5.0,5.0,2004-07-15
2002-05-04,USA/Japan/Brazil,Government,Earth Observation,Earth Science,98.8,"2,934",5/4/02,6 yrs.,Vandenberg AFB,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),6.0,6.0,2002-05-04
2016-12-20,Japan,Government,Space Science,,580,350,12/20/16,1 yr.,Uchinoura Space Center,Japan Aerospace Exploration Agency (JAXA),1.0,1.0,2016-12-20
2006-04-25,Israel,Military/Commercial,Earth Observation,Optical Imaging,94.8,350,4/25/06,10 yrs.,Svobodny Cosmodrome,Israel Aircraft Industries (IAI),10.0,10.0,2006-04-25
2016-04-25,Italy,Civil,Technology Development,,95.9,1,4/25/16,,Guiana Space Center,Polytechnic of Turin,,,2016-04-25
2001-01-10,Turkey/France,Commercial,Communications,,1436.06,"3,535",1/10/01,15 yrs.,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2001-01-10
2009-04-03,Multinational,Commercial,Communications,,1436.09,"5,900",4/3/09,15 yrs.,Baikonur Cosmodrome,Alcatel Alenia Space,15.0,15.0,2009-04-03
2006-05-27,Multinational,Commercial,Communications,,1436.1,"5,456",5/27/06,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2006-05-27
2015-03-02,Multinational,Commercial,Communications,,1436,,3/2/15,15 yrs.,Cape Canaveral,Boeing Defense and Space,15.0,15.0,2015-03-02
2013-03-26,Multinational,Commercial,Communications,,1436.1,"5,474",3/26/13,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2013-03-26
2016-06-15,Multinational,Commercial,Communications,,1436.1,"5,500",6/15/16,15 yrs.,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2016-06-15
2002-08-28,Multinational,Commercial,Communications,,1436.1,"2,700",8/28/02,15 yrs.,Guiana Space Center,Alenia Spazio,15.0,15.0,2002-08-28
2011-10-07,Multinational,Commercial,Communications,,1436.12,"5,400",10/7/11,,Xichang Satellite Launch Center,Thales Alenia Space,,,2011-10-07
2000-04-17,Multinational,Commercial,Communications,,1436.06,"2,500",4/17/00,,Baikonur Cosmodrome,Alcatel Space/NPO PM (Applied Mechanics),,,2000-04-17
2005-12-29,Multinational,Commercial,Communications,,1436.1,"5,000",12/29/05,16 yrs.,Baikonur Cosmodrome,Alcatel Alenia Space,16.0,16.0,2005-12-29
2013-08-29,Multinational,Commercial,Communications,,1434.03,,8/29/13,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2013-08-29
2003-09-27,Multinational,Commercial,Communications,,1436.06,"1,525",9/27/03,10 yrs.,Guiana Space Center,Boeing Satellite Systems,10.0,10.0,2003-09-27
2001-03-08,Multinational,Commercial,Communications,,1436.1,"2,950",3/8/01,12 yrs.,Guiana Space Center,Alcatel Space Industries,12.0,12.0,2001-03-08
2000-05-24,Multinational,Commercial,Communications,,1436.08,"3,190",5/24/00,12 yrs.,Cape Canaveral,Alcatel Space Industries,12.0,12.0,2000-05-24
2009-11-24,Multinational,Commercial,Communications,,1436.09,"5,600",11/24/09,15 yrs.,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2009-11-24
2014-05-26,Multinational,Commercial,Communications,,1436.1,"5,967",5/26/14,15 yrs.,Sea Launch (Odyssey),Airbus Defense and Space,15.0,15.0,2014-05-26
1996-11-21,Multinational,Commercial,Communications,,1436.07,"2,915",11/21/96,14 yrs.,Cape Canaveral,Matra Marconi Space (Astrium),14.0,14.0,1996-11-21
2012-11-10,Multinational,Commercial,Communications,,1436.12,"5,102",11/10/12,15 yrs.,Guiana Space Center,Thales Alenia Space,15.0,15.0,2012-11-10
2002-07-05,Multinational,Commercial,Communications,,1436.08,"4,050",7/5/02,15 yrs.,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2002-07-05
2016-03-09,Multinational,Commercial,Communications,,1436.07,"6,654",3/9/16,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2016-03-09
2011-09-24,Multinational,Commercial,Communications,,1436.09,"4,600",9/24/11,15 yrs.,Sea Launch (Odyssey),Astrium,15.0,15.0,2011-09-24
2012-12-03,Multinational,Commercial,Communications,,1436.28,"5,250",12/3/12,15 yrs.,Sea Launch (Odyssey),EADS Astrium,15.0,15.0,2012-12-03
2004-03-15,Multinational,Commercial,Communications,,1436.07,"4,300",3/15/04,15 yrs.,Baikonur Cosmodrome,Astrium,15.0,15.0,2004-03-15
2013-05-14,Multinational,Commercial,Communications,,1436.21,"5,404",5/14/13,15 yrs.,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-05-14
2001-09-25,Multinational,Commercial,Communications,,1436.1,"3,150",9/25/01,15 yrs.,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2001-09-25
2015-08-20,Multinational,Commercial,Communications,,1436.1,"5,800",8/20/15,15 yrs.,Guiana Space Center,Thales Alenia Space,15.0,15.0,2015-08-20
2002-08-28,Multinational,Commercial,Communications,,1436.06,"3,800",8/28/02,12 yrs.,Cape Canaveral,Alcatel Space Industries,12.0,12.0,2002-08-28
2006-03-11,Multinational,Commercial,Communications,,1436.1,"4,100",3/11/06,15 yrs.,Guiana Space Center,Alcatel Alenia Space,15.0,15.0,2006-03-11
2009-02-11,Multinational,Commercial,Communications,,1436.07,"4,892",2/11/09,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2009-02-11
2006-08-04,Multinational,Commercial,Communications,,1436.06,"4,900",8/4/06,15 yrs.,Baikonur Cosmodrome,EADS Space,15.0,15.0,2006-08-04
2008-12-20,Multinational,Commercial,Communications,,1436.09,"4,880",12/20/08,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2008-12-20
2016-01-29,Multinational,Commercial,Communications,,1436.06,"5,200",1/29/16,15 yrs.,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2016-01-29
2010-12-26,Multinational,Commercial,Communications,,1436.01,"6,150",12/26/10,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2010-12-26
2012-07-22,Canada,Commercial,Communications,Automatic Identification System (AIS),101.2,100,7/22/12,,Baikonur Cosmodrome,Surrey Satellite Technologies Ltd.,,,2012-07-22
2011-08-17,Canada,Commercial,Communications,Automatic Identification System (AIS),98,12,8/17/11,,Dombarovsky Air Base,SpaceQuest,,,2011-08-17
2015-09-28,Canada,Commercial,Communications,Automatic Identification System (AIS),97.5,6,9/28/15,,Satish Dhawan Space Centre,Space Flight Laboratory (SFL),,,2015-09-28
2003-12-28,Russia/Multinational,Commercial,Communications,,1436.06,"2,600",12/28/03,12 yrs.,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2003-12-28
2015-12-24,Russia,Commercial,Communications,,1436.1,"2,700",12/24/15,15 yrs.,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2015-12-24
2002-06-10,Russia,Commercial,Communications,,1436.1,"2,600",6/10/02,7-10 yrs.,Baikonur Cosmodrome,NPO-PM/Alcatel,7.0,10.0,2002-06-10
2005-03-29,Russia,Commercial,Communications,,1436.1,"2,542",3/29/05,12 yrs.,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2005-03-29
2005-06-24,Russia,Commercial,Communications,,1436.1,"2,600",6/24/05,12 yrs.,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2005-06-24
2008-01-28,Russia,Commercial,Communications,,1436.1,"2,600",1/28/08,12 yrs.,Baikonur Cosmodrome,NPO-PM/Thales Alenia Space,12.0,12.0,2008-01-28
2009-02-11,Russia,Commercial,Communications,,1446.57,"2,532",2/11/09,12 yrs.,Baikonur Cosmodrome,NPO-PM/Thales Alenia Space,12.0,12.0,2009-02-11
2013-12-26,Russia,Commercial,Communications,,1430.6,"3,400",12/26/13,15 yrs.,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2013-12-26
2014-10-21,Russia,Commercial,Communications,,1440.09,"3,358",10/21/14,15 yrs.,Baikonur Cosmodrome,ISS Reshetnev ,15.0,15.0,2014-10-21
2015-03-18,Russia,Commercial,Communications,,1436.1,"5,720",3/18/15,15 yrs.,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2015-03-18
2015-09-14,Russia,Commercial,Communications,,1436.09,"2,100",9/14/15,15 yrs.,Baikonur Cosmodrome,ISS Reshetnev,15.0,15.0,2015-09-14
2014-03-15,Russia,Commercial,Communications,,1436.4,"1,726",3/15/14,15 yrs.,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2014-03-15
2014-03-15,Russia,Commercial,Communications,,1429.75,"1,427",3/15/14,15 yrs.,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2014-03-15
2007-03-09,USA,Military/Civil,Technology Development,,95.4,46,3/9/07,,Cape Canaveral,US Air Force Academy,,,2007-03-09
2010-11-20,USA,Civil,Technology Development,,97.54,55,11/20/10,,Kodiak Launch Complex,University of Texas - Austin,,,2010-11-20
2012-11-20,China,Government,Technology Development,,94.49,160,11/20/12,,Taiyuan Launch Center,Chinese Academy of Space Technology (CAST),,,2012-11-20
2006-12-08,China,Government,Earth Observation,Earth Science,1436,"1,390",12/8/06,3 yrs.,Xichang Satellite Launch Center,China Aerospace Corporation,3.0,3.0,2006-12-08
2008-12-23,China,Government,Earth Observation,Earth Science,1436.04,"1,390",12/23/08,3 yrs.,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,3.0,3.0,2008-12-23
2012-01-12,China,Government,Earth Observation,Earth Science,1436.19,"1,390",1/12/12,3 yrs.,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,3.0,3.0,2012-01-12
2014-12-31,China,Government,Earth Observation,Earth Science,1436.02,"1,390",12/31/14,,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,,,2014-12-31
2008-05-27,China,Government,Earth Observation,Earth Science,101.5,"2,300",5/27/08,,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2008-05-27
2010-11-04,China,Government,Earth Observation,Earth Science,101.5,"2,300",11/4/10,,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2010-11-04
2013-09-23,China,Government,Earth Observation,Earth Science,101.45,"2,300",9/23/13,,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2013-09-23
2008-06-11,USA,Government,Space Science,,95.60,"4,303",6/11/08,,Cape Canaveral,General Dynamics,,,2008-06-11
2010-09-21,USA,Military,Earth Observation,Radar Imaging,107.35,,9/21/10,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2010-09-21
2012-04-03,USA,Military,Earth Observation,Radar Imaging,107.00,,4/3/12,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2012-04-03
2013-12-06,USA,Military,Earth Observation,Radar Imaging,106.70,,12/6/13,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2013-12-06
2016-02-10,USA,Military,Earth Observation,Radar Imaging,106.70,,2/10/16,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2016-02-10
2013-12-06,USA,Government/Civil,Space Science,,98.00,2,12/6/13,3 yrs.,Vandenberg AFB,Montana State University,3.0,3.0,2013-12-06
2013-12-06,USA,Government/Civil,Space Science,,98.00,2,12/6/13,3 yrs.,Vandenberg AFB,Montana State University,3.0,3.0,2013-12-06
2015-01-31,USA,Government/Civil,Space Science,,95.70,2,1/31/15,.25 yrs.,Vandenberg AFB,Montana State University,0.25,0.25,2015-01-31
2015-01-31,USA,Government/Civil,Space Science,,97.70,2,1/31/15,.25 yrs.,Vandenberg AFB,Montana State University,0.25,0.25,2015-01-31
2013-11-19,USA,Government/Civil,Earth Science,,94.68,3,11/19/13,1 yr.,Wallops Island Flight Facility,National Science Foundation,1.0,1.0,2013-11-19
1989-09-25,USA,Military,Communications,,"1,436.13","2,310",9/25/89,5 yrs.,Cape Canaveral,"TRW, Defense and Space Systems Group",5.0,5.0,1989-09-25
1997-08-29,USA,Government,Earth Observation,Radar Imaging,101,215,8/29/97,3 yrs.,Vandenberg AFB,Los Alamos National Lab/Sandia National Lab,3.0,3.0,1997-08-29
2015-10-08,USA,Civil,Communications/Technology Development,,97.7,1,10/8/15,11 yrs.,Cape Canaveral,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,11.0,11.0,2015-10-08
2013-11-21,Netherlands,Civil,Communications,,97.4,1,11/21/13,,Dombarovsky Air Base,AMSAT/UK-AMSAT/NL,,,2013-11-21
2015-12-16,Singapore,Civil,Earth Science,,95.43,3,12/16/15,,Satish Dhawan Space Centre,National University of Singapore,,,2015-12-16
1999-01-21,USA,Commercial,Communications,,1436.11,"4,488",1/21/99,14 yrs.,Guiana Space Center,Boeing Satellite Systems,14.0,14.0,1999-01-21
2003-04-09,USA,Commercial,Communications,,1436.07,"1,760",4/9/03,15 yrs.,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2003-04-09
2003-10-01,USA/Japan,Commercial,Communications,,1436.07,"4,060",10/1/03,15 yrs.,Sea Launch (Odyssey),Boeing Satellite Systems,15.0,15.0,2003-10-01
2005-08-13,USA,Commercial,Communications,,1436.07,"2,086",8/13/05,15 yrs.,Baikonur Cosmodrome,Orbital Sciences Corp.,15.0,15.0,2005-08-13
2005-10-13,USA,Commercial,Communications,,1436.07,"2,033",10/13/05,15 yrs.,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2005-10-13
2006-06-18,USA,Commercial,Communications,,1436.1,"4,640",6/18/06,15 yrs.,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2006-06-18
2007-05-04,USA,Commercial,Communications,,1436.1,"4,100",5/4/07,15 yrs.,Guiana Space Center,Thales Alenia Space,15.0,15.0,2007-05-04
2008-05-21,USA,Commercial,Communications,,1436.1,"4,642",5/21/08,15 yrs.,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2008-05-21
2008-09-24,USA,Commercial,Communications,,1436.1,"4,690",9/24/08,15 yrs.,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2008-09-24
1997-05-24,USA,Commercial,Communications,,1436.08,"3,515",5/24/97,13 yrs.,Baikonur Cosmodrome,Space Systems/Loral,13.0,13.0,1997-05-24
2005-06-23,USA,Commercial,Communications,,1436.1,"5,493",6/23/05,"13 trs,",Sea Launch (Odyssey),Space Systems/Loral,13.0,13.0,2005-06-23
2002-06-15,USA,Commercial,Communications,,1436.11,"4,860",6/15/02,15 yrs.,Sea Launch (Odyssey),Boeing Satellite Systems,15.0,15.0,2002-06-15
2014-08-22,ESA,Commercial,Navigation/Global Positioning,,776.25,733,8/22/14,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2014-08-22
2016-05-24,ESA,Commercial,Navigation/Global Positioning,,847.01,723,5/24/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-05-24
2016-05-24,ESA,Commercial,Navigation/Global Positioning,,856.9,723,5/24/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-05-24
2016-11-17,ESA,Commercial,Navigation/Global Positioning,,846,723,11/17/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
2016-11-17,ESA,Commercial,Navigation/Global Positioning,,834,723,11/17/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
2016-11-17,ESA,Commercial,Navigation/Global Positioning,,847,723,11/17/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
2014-08-22,ESA,Commercial,Navigation/Global Positioning,,705.11,733,8/22/14,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2014-08-22
2015-03-27,ESA,Commercial,Navigation/Global Positioning,,858.55,723,3/27/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-03-27
2015-03-27,ESA,Commercial,Navigation/Global Positioning,,850.5,723,3/27/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-03-27
2015-09-11,ESA,Commercial,Navigation/Global Positioning,,845,723,9/11/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-09-11
2015-09-11,ESA,Commercial,Navigation/Global Positioning,,844,723,9/11/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-09-11
2016-11-17,ESA,Commercial,Navigation/Global Positioning,,847,723,11/17/16,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
2015-12-17,ESA,Commercial,Navigation/Global Positioning,,860.51,723,12/17/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-12-17
2015-12-17,ESA,Commercial,Navigation/Global Positioning,,858.34,723,12/17/15,12 yrs.,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-12-17
2011-10-21,ESA,Commerical,Navigation/Global Positioning,,846.98,700,10/21/11,12 yrs.,Guiana Space Center,Astrium/Thales Alenia Space,12.0,12.0,2011-10-21
2011-10-21,ESA,Commercial,Navigation/Global Positioning,,846.88,700,10/21/11,12 yrs.,Guiana Space Center,Astrium/Thales Alenia Space,12.0,12.0,2011-10-21
2012-10-12,ESA,Commercial,Navigation/Global Positioning,,844.76,700,10/12/12,12 yrs.,Guiana Space Center,EADS Astrium,12.0,12.0,2012-10-12
2012-10-12,ESA,Commercial,Navigation/Global Positioning,,844.69,700,10/12/12,12 yrs.,Guiana Space Center,EADS Astrium,12.0,12.0,2012-10-12
2013-04-26,China,Government,Earth Observation,Optical Imaging,97.56,"1,000",4/26/13,5-8 yrs.,Jiuquan Satellite Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2013-04-26
2014-08-19,China,Government,Earth Observation,Optical Imaging,97.06,"1,000",8/19/14,5-8 yrs.,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2014-08-19
2016-08-09,China,Government,Earth Observation,Radar Imaging,99.8,"1,000",8/9/16,5-8 yrs.,Taiyuan Launch Center,China Academy of Space Technology (CAST),5.0,8.0,2016-08-09
2015-12-28,China,Government,Earth Observation,Optical Imaging,1436.1,"4,600",12/28/15,8 yrs.,Xichang Satellite Launch Center,China Aerospace Science and Technology Corporation,8.0,8.0,2015-12-28
2015-06-26,China,Government,Earth Observation,Optical Imaging,94.36,"1,000",6/26/15,5-8 yrs.,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2015-06-26
2015-09-14,China,Government,Earth Observation,Optical Imaging,97.54,"1,000",9/14/15,5-8 yrs.,Jiuquan Satellite Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2015-09-14
2011-09-20,Russia,Military,Communications,,1436.1,"5,000",9/20/11,,Baikonur Cosmodrome,ISS Reshetnev,,,2011-09-20
2015-12-10,Russia,Military,Communications,,1436.1,"5,000",12/10/15,,Baikonur Cosmodrome,ISS Reshetnev,,,2015-12-10
2000-02-12,Indonesia/Philippines/Thailand,Commercial,Communications,,1436.16,"4,291",2/12/00,12 yrs.,Baikonur Cosmodrome,Lockheed Martin Missiles and Space,12.0,12.0,2000-02-12
2013-11-21,Denmark,Commercial,Technology Development,,98.9,5,11/21/13,,Dombarovsky Air Base,GomSpace/University of Aalborg,,,2013-11-21
2015-05-20,USA,Government,Technology Development,,95,10,5/20/15,,Cape Canaveral,NearSpace Launch/Air Force Research Laboratory,,,2015-05-20
2006-07-12,USA,Commercial,Technology Development,,95.6,"1,360",7/12/06,5 yrs.,Dombarovsky Air Base,Bigelow Aerospace,5.0,5.0,2006-07-12
2007-06-28,USA,Commercial,Technology Development,,95.6,"1,360",6/28/07,5 yrs.,Dombarovsky Air Base,Bigelow Aerospace,5.0,5.0,2007-06-28
2016-06-05,Russia,Military,Earth Science,,104.03,900,6/5/16,5 yrs.,Plesetsk Cosmodrome,ISS Reshetnev,5.0,5.0,2016-06-05
2008-09-06,USA,Commercial/Government,Earth Observation,Optical Imaging,98.3,"1,955",9/6/08,7+ yrs.,Vandenberg AFB,General Dynamics,7.0,7.0,2008-09-06
1992-07-24,Multinational,Government,Space Science,,"2,474.83",980,7/24/92,,Cape Canaveral,NASA/Goddard Space Flight Center,,,1992-07-24
2016-06-22,Canada,Commercial,Earth Science,,94.70,15,6/22/16,,Satish Dhawan,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",,,2016-06-22
2012-05-17,USA/Japan,Government,Earth Observation,Earth Science,98.80,"1,900",5/17/12,5 yrs.,Tanegashima Space Center,Japan Aerospace Exploration Agency (JAXA),5.0,5.0,2012-05-17
1998-02-14,USA,Commercial,Communications,,114,450,2/14/98,10 yrs.,Cape Canaveral,Space Systems/Loral,10.0,10.0,1998-02-14
1999-02-09,USA,Commercial,Communications,,114.1,450,2/9/99,10 yrs.,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-02-09
1999-07-25,USA,Commercial,Communications,,114.1,450,7/25/99,10 yrs.,Cape Canaveral,Space Systems/Loral,10.0,10.0,1999-07-25
1999-07-25,USA,Commercial,Communications,,114.1,450,7/25/99,10 yrs.,Cape Canaveral,Space Systems/Loral,10.0,10.0,1999-07-25
1999-10-18,USA,Commercial,Communications,,114.1,450,10/18/99,10 yrs.,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-10-18
1999-03-15,USA,Commercial,Communications,,114.1,450,3/15/99,10 yrs.,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-03-15
1999-11-22,USA,Commercial,Communications,,114.1,450,11/22/99,10 yrs.,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-11-22
1999-02-09,USA,Commercial,Communications,,114.1,450,2/9/99,10 yrs.,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-02-09
