date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
2016-09-26,Algeria,Government,Earth Observation,Optical Imaging,97.7,117,9/26/16,5 yrs.,Satish Dhawan Space Center,Airbus Defense and Space,5.0,5.0,2016-09-26
2016-09-26,Algeria,Government,Earth Observation,Optical Imaging,98.4,103,9/26/16,5 yrs.,Satish Dhawan Space Center,Surrey Satellite Technologies Ltd.,5.0,5.0,2016-09-26
2016-09-26,Algeria,Government,Technology Development,,98.3,10,9/26/16,,Satish Dhawan Space Center,Surrey Satellite Technologies Ltd.,,,2016-09-26
2010-07-12,Algeria,Government,Earth Observation,Optical Imaging,98.2,130,7/12/10,5 yrs.,Satish Dhawan Space Center,EADS Astrium,5.0,5.0,2010-07-12
2004-08-04,Spain,Commercial,Communications,,1436.1,"4,545",8/4/04,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2004-08-04
2009-10-01,Spain,Commercial,Communications,,1436.08,"5,465",10/1/09,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2009-10-01
2013-02-07,Spain,Commercial,Communications,,1436.05,"6,265",2/7/13,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2013-02-07
2014-03-22,Spain,Commercial,Communications,,1436.24,"2,938",3/22/14,15 yrs.,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2014-03-22
1996-09-08,USA,Commercial,Communications,,1436.1,"2,783",9/8/96,15 yrs.,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,1996-09-08
2004-02-05,USA,Commercial,Communications,,1436.09,"2,315",2/5/04,15 yrs.,Cape Canaveral,Lockheed Martin,15.0,15.0,2004-02-05
2004-05-19,USA,Commercial,Communications,,1436.07,"2,340",5/19/04,15 yrs.,Cape Canaveral,Lockheed Martin,15.0,15.0,2004-05-19
2004-10-14,USA,Commercial,Communications,,1436.08,"4,200",10/14/04,15 yrs.,Baikonur Cosmodrome,Lockheed Martin,15.0,15.0,2004-10-14
2004-12-17,USA,Commercial,Communications,,1436.1,"4,312",12/17/04,15 yrs.,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,2004-12-17
2006-12-08,USA,Commercial,Communications,,1436.1,"2,081",12/8/06,15 yrs.,Guiana Space Center,Lockheed Martin Missiles and Space,15.0,15.0,2006-12-08
1997-01-30,USA,Commercial,Communications,,1436.1,"2,648",1/30/97,15 yrs.,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,1997-01-30
2008-08-14,USA,Commercial,Communications,,1436.1,"2,500",8/14/08,15 yrs.,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2008-08-14
1997-09-04,USA,Commercial,Communications,,1436.08,"2,845",9/4/97,15 yrs.,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,1997-09-04
1999-11-13,USA,Commercial,Communications,,1436.1,"3,909",11/13/99,15 yrs.,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,1999-11-13
2000-10-22,USA,Commercial,Communications,,1436.12,"3,901",10/22/00,15 yrs.,Baikonur Cosmodrome,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-10-22
2000-09-14,USA,Commercial,Communications,,1436.08,"1,935",9/14/00,15 yrs.,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-09-14
2000-12-19,USA,Commercial,Communications,,1436.07,"2,015",12/19/00,15 yrs.,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,2000-12-19
2003-06-07,USA,Commercial,Communications,,1436.08,"4,100",6/7/03,15+ yrs.,Baikonur Cosmodrome,Alcatel Space Industries,15.0,15.0,2003-06-07
2003-12-27,Israel,Military/Commercial,Communications,,1436.08,"1,400",12/27/03,12 yrs.,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2003-12-27
2008-04-28,Israel,Military/Commercial,Communications,,1436.1,,4/28/08,12 yrs.,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2008-04-28
2013-08-31,Israel,Military/Commercial,Communications,,1432,,8/31/13,12 yrs.,Baikonur Cosmodrome,Israel Aircraft Industries (IAI),12.0,12.0,2013-08-31
1974-11-15,USA,Civil,Communications,,114.9,29,11/15/74,,Vandenberg AFB,Amsat-NA,,,1974-11-15
2000-11-21,Canada,Commercial,Communications,,1436.08,"4,710",11/21/00,15 yrs.,Guiana Space Center,Boeing Satellite Systems,15.0,15.0,2000-11-21
2005-09-09,Canada,Commercial,Communications,,1436.1,"4,500",9/9/05,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2005-09-09
2004-07-18,Canada,Commercial,Communications,,1436.08,"5,910",7/18/04,15 yrs.,Guiana Space Center,Boeing Satellite Systems,15.0,15.0,2004-07-18
2007-04-09,Canada,Commercial,Communications,,1436.1,"4,715",4/9/07,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2007-04-09
2013-04-15,Canada,Commercial,Communications,,1436.08,"4,905",4/15/13,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2013-04-15
2014-06-19,Uruguay,Civil,Technology Development,,96.99,2,6/19/14,,Dombarovsky Air Base,"Facultad de Ingenieria de la Universidad de la Republica (FING), ANTEL",,,2014-06-19
2004-06-29,Argentina,Commercial,Communications/Technology Development,,99.4,12,6/29/04,,Baikonur Cosmodrome,Aprize Satellite ,,,2004-06-29
2014-06-19,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),98,12,6/19/14,,Dombarovsky Air Base,SpaceQuest,,,2014-06-19
2004-06-29,Argentina,Commercial,Communications/Technology Development,,100.3,12,6/29/04,,Baikonur Cosmodrome,Aprize Satellite ,,,2004-06-29
2009-07-29,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),97,12,7/29/09,,Baikonur Cosmodrome,SpaceQuest,,,2009-07-29
2009-07-29,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),97.5,12,7/29/09,,Baikonur Cosmodrome,SpaceQuest,,,2009-07-29
2011-08-17,Canada,Commercial,Communications,Automatic Identification System (AIS),97.8,12,8/17/11,,Dombarovsky Air Base,SpaceQuest,,,2011-08-17
2013-11-21,Canada,Commercial,Communications,Automatic Identification System (AIS),97.17,12,11/21/13,,Dombarovsky Air Base,SpaceQuest,,,2013-11-21
2013-11-21,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),97.99,12,11/21/13,,Dombarovsky Air Base,SpaceQuest,,,2013-11-21
2014-06-19,Canada,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),98,12,6/19/14,,Dombarovsky Air Base,SpaceQuest,,,2014-06-19
1996-07-03,China,Commercial,Communications,,1436.03,"1,383",7/3/96,,Xichang Satellite Launch Center,Hughes,,,1996-07-03
2005-04-12,China,Commercial,Communications,,1436.08,"4,680",4/12/05,,Xichang Satellite Launch Center,Alcatel Space Industries,,,2005-04-12
2012-03-31,China,Commercial,Communications,,1440.31,"5,054",3/31/12,15 yrs.,Xichang Satellite Launch Center,Thales Alenia Space,15.0,15.0,2012-03-31
2015-10-16,China,Commercial,Communications,,1436.01,"5,200",10/16/15,15 yrs.,Xichang Satellite Launch Center,China Academy of Space Technology (CAST),15.0,15.0,2015-10-16
1998-05-30,China,Commercial,Communications,,1436.12,"3,000",5/30/98,15 yrs.,Xichang Satellite Launch Center,Lockheed Martin,15.0,15.0,1998-05-30
2011-09-21,Multinational,Government,Communications,,1436.06,"4,630",9/21/11,15 yrs.,Guiana Space Center,Astrium/Thales Alenia Space,15.0,15.0,2011-09-21
1999-05-20,Multinational,Commercial,Communications,,1436.09,"3,600",5/20/99,12 yrs.,Baikonur Cosmodrome,Lockheed Martin/Spar Aerospace,12.0,12.0,1999-05-20
2015-10-08,USA,Civil,Technology Development,,97.71,1,10/8/15,,Cape Canaveral,University of Alaska-Fairbanks,,,2015-10-08
2014-10-16,Argentina,Commercial,Communications,,1436.07,"3,000",10/16/14,15 yrs.,Guiana Space Center,INVAP S.E.,15.0,15.0,2014-10-16
2015-09-30,Argentina,Commercial,Communications,,1436.06,"2,977",9/30/15,15 yrs.,Guiana Space Center,INVAP S.E.,15.0,15.0,2015-09-30
2001-07-12,ESA,Commercial/Government,Communications/Technology Development,,1436.12,"3,105",7/12/01,10 yrs.,Guiana Space Center,Alenia Spazio,10.0,10.0,2001-07-12
1999-03-21,China,Commercial,Communications,,1436.07,"3,480",3/21/99,15 yrs.,Baikonur Cosmodrome,Boeing Satellite Systems,15.0,15.0,1999-03-21
2003-04-12,China,Commercial,Communications,,1436.1,"4,137",4/12/03,15 yrs.,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2003-04-12
2009-08-11,China,Commercial,Communications,,1436.11,"3,760",8/11/09,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2009-08-11
