FMID,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
1003527,Pennsylvania,19139,"June - November Wednesday 1:00 PM to 5:00 PM, Friday 1:00 PM to 5:00 PM, (Wednesday markets begin June 6. Friday markets begin July 6.)",-75.22461,39.96498,Other,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N
1003703,New York,10019,"April - December Wednesday 8:00 AM to 6:00 PM, Saturday 8:00 AM to 6:00 PM",-73.985839,40.768159,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N
1003534,Pennsylvania,19143,June - November Wednesday 2:00 PM to 6:00 PM,-75.228324,39.935556,Other,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N
22001174,Kentucky,40348,,-84.1487,38.3004,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002746,Illinois,60637,May - December Saturday 9:00 AM to 2:00 PM,-87.590568,41.78407,Closed-off public street,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N
21006629,Texas,78757,January - December,-97.7018,30.4258,Private business parking lot,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N
1003705,New York,10024,January - December Sunday 8:00 AM to 5:00 PM,-73.975668,40.781776,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y
1003707,New York,10028,January - December Saturday 9:00 AM to 3:00 PM,-73.95009,40.773749,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N
1000568,Iowa,52401,"May - October Tuesday 4:00 PM to 6:00 PM, Saturday 7:30 AM to 12:00 PM",-91.6626534,41.972837,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
1003709,New York,10128,June - December Sunday 9:00 AM to 4:00 PM,-73.946421,40.780931,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
1003711,New York,10025,January - December Friday 8:00 AM to 2:00 PM,-73.967012,40.79356,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N
22003160,Kentucky,40203,,-85.7724,38.248,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002215,Maryland,21716,"January - December Monday - Friday 12:00 PM to 5:00 PM, Saturday 10:00 AM to 5:00 PM, Sunday 12:00 PM to 5:00 PM",-77.6277075,39.313066,Co-located with wholesale market facility,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N
1001334,Kentucky,42642,"June - October Tuesday 7:00 AM to 4:00 PM, Friday 7:00 AM to 4:00 PM, Saturday 7:00 AM to 2:00 PM, (7 am until sellout or 4pm)",-85.076795,37.032535,Private business parking lot,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
22004181,Maryland,21401,,-76.6123,39.006,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22001479,Florida,33478,,-80.1296,26.8838,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004648,Alabama,36310,,-85.2466,31.5633,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
21000528,South Carolina,29620,January - December Friday 7:00 am to 12:00 pm,-82.3811,34.176,Local government building grounds,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N
1002310,Wisconsin,54405,May - October Tuesday 1:30 PM to 5:30 PM,-90.307145,44.945665,Private business parking lot,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N
22000803,Minnesota,,,-93.2629,44.9556,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002873,South Dakota,57401,,-98.4866,45.4631,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22001493,Kansas,67410,,-97.2139,38.9153,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004338,Virginia,24210,"April - August Tuesday 3:00 PM to 6:00 PM, Saturday 7:00 AM to 12:00 PM September - November Tuesday 3:00 PM to 6:00 PM, Saturday 8:00 AM to 12:00 PM December Saturday 10:00 AM to 12:00 PM",-81.977406,36.708734,Local government building grounds,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
1003713,New York,10014,January - December Saturday 8:00 AM to 2:00 PM,-74.00528,40.737177,Other,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N
22004564,Massachusetts,2351,,-70.9369,42.119,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003181,Pennsylvania,,,-75.7746,41.425,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002771,New Mexico,,June - October Saturday 7:00 AM to 12:00 PM,-106.565838,35.103988,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002771,New Mexico,,June - October Tuesday 7:00 AM to 12:00 PM,-106.633172,35.082375,Healthcare Institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000998,Colorado,80903,June - October Monday 10:00 AM to 3:00 PM,-104.8230377,38.8380842,Local government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
22001119,Maine,,,-68.9716,44.5908,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003068,Louisiana,,,-92.0636,30.2144,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004651,Louisiana,70570,,-92.0634,30.2147,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004652,New York,,,-75.4541,43.2098,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004021,Massachusetts,1720,"June - October Sunday 10:00 AM to 1:00 PM, (June 17- October 21)",-71.47415,42.47518,Closed-off public street,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y
1003737,Massachusetts,2743,June - October Saturday 9:00 AM to 1:00 PM,-70.8999,41.7199,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N
22004000,Georgia,,,-84.6767,34.0657,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002995,Ohio,45810,June - September Thursday 4:30 PM to 6:30 PM,-83.82185,40.77057,Local government building grounds,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N
21001922,Oklahoma,74820,"January - December Wednesday 6:00 am to 2:00 pm, Saturday 6:00 am to 2:00 pm",-96.6797,34.7739,Private business parking lot,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
1003945,Michigan,49301,"June - September Tuesday 12:00 PM to 6:00 PM, (The Ada Farmers' Market opens at noon on June 19 for the 2012 season.)",-85.4889683,42.9553715,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N
22004462,Kentucky,,,-85.297,37.1043,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22000623,Pennsylvania,17325,May - October Wednesday 12:00 PM to 4:00 PM,-77.237298,39.825018,Other,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N
